line_id,u_of_edge,v_of_edge,r_pu,x_pu,b_pu,rateA,rateB
1,0,1,0.19375,0.11297,7.9168e-08,0.024942,2
2,0,2,2.0469,1.1462,8.9632e-07,0.026327,2
3,0,3,0,0,0,1,3
4,1,4,3.03,0.0911,2.2696e-08,0.0030484,2
5,1,5,0.0775,0.045187,3.1667e-08,0.024942,2
6,2,6,0.41406,0.23187,1.8132e-07,0.026327,2
7,2,7,0.94331,0.18379,9.6057e-08,0.01351,2
8,2,8,0.33863,0.065975,3.4482e-08,0.01351,2
9,3,9,0,0,0,1,3
10,5,10,3.7875,0.11388,2.837e-08,0.0030484,2
11,5,11,0.06975,0.040669,2.8501e-08,0.024942,2
12,6,12,0.387,0.0754,3.9408e-08,0.01351,2
13,6,13,0.9675,0.1885,9.852e-08,0.01351,2
14,9,14,1.7458e-06,9.7764e-07,0.05885,13.868,2
15,11,15,5.3025,0.15943,3.9718e-08,0.0030484,2
16,11,16,0.10075,0.058744,4.1167e-08,0.024942,2
17,14,17,1.2953e-06,7.2534e-07,0.043663,13.868,2
18,14,18,3.5742e-06,6.9637e-07,0.028018,7.1163,2
19,14,19,1.2205e-06,2.3779e-07,0.0095672,7.1163,2
20,16,20,2.6513,0.079713,1.9859e-08,0.0030484,2
21,16,21,0.0775,0.045187,3.1667e-08,0.024942,2
22,17,22,3.1383e-06,6.1145e-07,0.024601,7.1163,2
23,17,23,1.0461e-06,2.0382e-07,0.0082005,7.1163,2
24,21,24,5.4919,0.16512,4.1136e-08,0.0030484,2
25,21,25,0.124,0.0723,5.0668e-08,0.024942,2
26,25,26,2.6513,0.079713,1.9859e-08,0.0030484,2
27,25,27,0.062,0.03615,2.5334e-08,0.024942,2
28,27,28,5.1131,0.15373,3.8299e-08,0.0030484,2
29,27,29,0.124,0.0723,5.0668e-08,0.024942,2
30,29,30,0.37875,0.011388,2.837e-09,0.0030484,2
31,29,31,0.186,0.10845,7.6001e-08,0.024942,2
32,30,32,0.2875,0.0212,8.0425e-09,0.0069282,2
33,31,33,6.6281,0.19928,4.9647e-08,0.0030484,2
34,31,34,4.7344,0.14234,3.5462e-08,0.0030484,2
35,31,35,0.06975,0.040669,2.8501e-08,0.024942,2
36,32,36,1.515,0.04555,1.1348e-08,0.0030484,2
37,35,37,2.6513,0.079713,1.9859e-08,0.0030484,2
38,35,38,0.17825,0.10393,7.2835e-08,0.024942,2
39,38,39,2.8406,0.085406,2.1277e-08,0.0030484,2
40,38,40,4.545,0.13665,3.4044e-08,0.0030484,2
41,38,41,0.2015,0.11749,8.2335e-08,0.024942,2
42,41,42,4.1662,0.12526,3.1207e-08,0.0030484,2
43,41,43,0.0465,0.027113,1.9e-08,0.024942,2
44,43,44,2.0831,0.062631,1.5603e-08,0.0030484,2
45,43,45,0.13175,0.076819,5.3834e-08,0.024942,2
46,45,46,3.9769,0.11957,2.9788e-08,0.0030484,2
47,45,47,0.062,0.03615,2.5334e-08,0.024942,2
48,47,48,1.1362,0.034162,8.511e-09,0.0030484,2
49,47,49,0.13175,0.076819,5.3834e-08,0.024942,2
50,48,50,0.64687,0.0477,1.8096e-08,0.0069282,2
51,49,51,3.9769,0.11957,2.9788e-08,0.0030484,2
52,49,52,0.0775,0.045187,3.1667e-08,0.024942,2
53,52,53,3.7875,0.11388,2.837e-08,0.0030484,2
54,52,54,0.08525,0.049706,3.4834e-08,0.024942,2
55,54,55,0.05425,0.031631,2.2167e-08,0.024942,2
56,54,56,3.2194,0.096794,2.4114e-08,0.0030484,2
57,55,57,2.4619,0.074019,1.844e-08,0.0030484,2
